Date,Time of Day,Number of Classes,Length of Longest Class,Class Location,Type of Class,Number of Homework Assignments Due ,Caffeine Type,Ounces Consumed,Mg of Caffeine 
4/21/26,Afternoon,3,"1 hour, 15 minutes",ILP,Ecology,5,Coffee,20,64 mg
4/21/26,Afternoon,3,"1 hour, 15 minutes",HSSB,Environmental Science,5,Coffee,20,64 mg
4/22/26,Morning,3,2 hours 50 minutes, BSB,Biology,4,Coffee,20,200 mg
4/22/26,Morning,3,2 hours 50 minutes,HSSB,Data Science,4,Coffee,20,200 mg
4/23/26,Afternoon,3,1 hour 15 minutes, Givetz ,Environmental Science,4,Coffee,20,128 mg
4/24/26,Morning,2,1 hour 15 minutes,HSSB,Environmental Science,5,Yerba Mate,15.5,150 mg
4/27/26,Afternoon,2,"1 hour, 15 minutes",ILP,Ecology,4,Coffee,20,64 mg
4/27/26,Afternoon,2,"1 hour, 15 minutes",HSSB,Environmental Science,4,Coffee,20,64 mg
4/28/26,Morning,1,1 hour 15 minutes,ILP,Data Science,3,Chai / Coffee,20,230 mg
4/29/26,Morning,3,2 hours 50 minutes,HSSB, Data Science,5,Coffee,20,300 mg
5/1/26,Morning,1,50 mins,ILP,Ecology,6,Coffee,20,128 mg
5/5/26,Morning,1,1 hour 15 minutes,ILP,Ecology,5,Coffee,16,64 mg
5/6/26,Afternoon,2,2 hours 50 minutes,HSSB, Data Science,2,Coffee,8,48 mg
5/8/26,Morning,3,1 hour 15 minutes, Givetz ,Environmental Science,3,Coffee,20,128 mg
5/11/26,Morning,3,"1 hour, 15 minutes", ILP,Ecology,2,Chai,16,64 mg 
5/12/26,Afternoon,2,1 hour 15 minutes,BSB,Biology,5,Coffee,12,48 mg
5/12/26,Afternoon,2,1 hour 15 minutes,Girvetz,Environmental Science,5,Coffee,12,48 mg
5/13/26,Morning,3,2 hours 50 minutes,HSSB, Data Science,3,Celcius ,12,200 mg
5/15/26,Afternoon,2,"1 hour, 15 minutes",ILP,Ecology,0,Coffee,16,64 mg
5/18/26,Morning,3,50 mins,ILP,Environmental Science,2,Coffee,20,128 mg
5/20/26,Afternoon,3,2 hours 50 minutes,BSB,Biology,4,Celcius ,12,200 mg
5/22/26,Morning,3,"1 hour, 15 minutes",HSSB,Environmental Science,4,Coffee,20,128 mg
5/22/26,Morning,3,"1 hour, 15 minutes",ILP,Ecology,4,Coffee,20,128 mg
5/24/26,Morning,2,50 mins,ILP,Ecology,2,Celcius,12,200 mg
5/26/26,Afternoon,3,"1 hour, 15 minutes",HSSB,Data Science,1,Coffee,20,200 mg
5/28/26,Morning,3,1 hour 15 minutes,BSB,Biology,3,Coffee,12,64 mg
